Resource,Derating_Factor_1,Derating_Factor_2,Derating_Factor_3,Derating_Factor_4,Derating_Factor_5,Derating_Factor_6,Derating_Factor_7
hubei_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
sichuan_hydro_existing,0.0,0.0,0.0,0.0,0.9,0.0,0.0
xizang_hydro_existing,0.0,0.0,0.0,0.0,0.9,0.0,0.0
qinghai_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.9,0.0
guizhou_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
yunnan_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
SC2fufeng_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
SC2jinsu_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
SC2binjin_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
SC2yahu_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
SC2jiansu_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
SC2jintang_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
QH2qingyu_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
YN2chusui_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2puqiao_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2xindong_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2kunliu_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2kunliulong_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2lugao_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
GZ2gaozhao_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2jinzhong_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2yongfu_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
GZ2xingan_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
YN2niucong_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
GZ2tianguang_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
HB2sanxiahuazhong_hydro_existing,0.0,0.0,0.0,0.9,0.0,0.0,0.0
HB2sanxialinfenggenanyihua_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
HB2sanxialongzheng_hydro_existing,0.0,0.0,0.9,0.0,0.0,0.0,0.0
HB2sanxiajiangcheng_hydro_existing,0.0,0.0,0.0,0.0,0.0,0.0,0.9
sichuan_hydro_existing2030,0.0,0.0,0.0,0.0,0.9,0.0,0.0
xizang_hydro_existing2030,0.0,0.0,0.0,0.0,0.9,0.0,0.0
qinghai_hydro_existing2030,0.0,0.0,0.0,0.0,0.0,0.9,0.0
guizhou_hydro_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.9
yunnan_hydro_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.9
XZ2zangyu_hydro_existing2030,0.0,0.0,0.0,0.0,0.9,0.0,0.0
SC2jinshang_hydro_existing2030,0.0,0.0,0.0,0.9,0.0,0.0,0.0
XZ2guangdong_hydro_existing2030,0.0,0.0,0.0,0.0,0.0,0.0,0.9
sichuan_hydro_candidate,0.0,0.0,0.0,0.0,0.9,0.0,0.0
XZ2henan_hydro_candidate,0.0,0.0,0.0,0.9,0.0,0.0,0.0
XZ2hubei_hydro_candidate,0.0,0.0,0.0,0.9,0.0,0.0,0.0
XZ2hunan_hydro_candidate,0.0,0.0,0.0,0.9,0.0,0.0,0.0
